Index	Language	ISO 639-3 Code	Family-Narrow	Country Where	Family-Broad
1	Abidji	abi	Kwa	Ivory Coast	Niger-Congo
2	Agarabi	agd	Trans-New Guinea	Papua New Guinea	Trans-New Guinea
3	Agta	dgc	Austronesian	Philippines	Austronesian
4	Aguacatec	agu	Mayan	Guatemala	Mayan
5	Amarakaeri	amr	Arawakan	Peru	Arawakan
6	Ampeeli	apz	Angan	Papua New Guinea	Trans-New Guinea
7	Amuzgo	amu	Oto-Manguean	Mexico	Oto-Manguean
8	Angaatiha	agm	Angan	Papua New Guinea	Trans-New Guinea
9	Apinayé	apn	Macro-Ge	Brazil	Macro-Ge
10	Arabela	arl	Zaparoan	Peru	Zaparoan
11	Bahinemo	bjh	Sepik Hill	Papua New Guinea	Sepik
12	Bauzi	bvz	Geelvink Bay	Indonesia	Geelvink Bay
13	Berik	bkl	Trans-New Guinea	Indonesia (Irian Jaya)	Trans-New Guinea
14	Bété	byf	Kru	Ivory Coast	Niger-Congo
15	Bhili	bhb	Indic	India	Indo-European
16	Buglere	sab	Chibchan	Panama	Chibchan
17	Cakchiquel	cak	Mayan	Guatemala	Mayan
18	Campa	cpb	Arawakan	Peru	Arawakan
19	Camsa	kbh	Camsa	Columbia	Isolate
20	Candoshi	cbu	Jivaroan	Peru	Jivaroan
21	Cavineña	cav	Tacanan	Bolivia	Pano-Tacanan
22	Cayapa	cbi	Barbacoan-Paezan	Ecuador	Barbacoan-Paezan
23	Chácobo	cao	Panoan	Bolivia	Pano-Tacanan
24	Chavacano (Zamboangueño)	cbk	[creole]	Philippines	Indo-European
25	Chayahuita	cbt	Chayahuita (Jivaroan?)	Peru	Jivaroan
26	Chinantec	cte	Oto-Manguean	Mexico|	Oto-Manguean
27	Chiquitano	cax	Macro-Ge	Bolivia	Macro-Ge
28	Chumburu	ncu	Chumburung	Ghana	Niger-Congo
29	Cofán	con	Chibchan	Ecuador	Chibchan
30	Colorado	cof	Barbacoan	Ecuador	Barbacoan-Paezan
31	Cree	csw	Algonquian	Canada	Algonquian
32	Culina	cul	Arauan	Peru, Brazil	Arauan
33	Didinga	did	Nilo-Sarahan	Sudan	Nilo-Sarahan
34	Djuka	djk	[creole]	Surinam	Indo-European
35	Dyimini	dyi	Gur	Ivory Coast	Niger-Congo
36	Ejagam	etu	Bantoid	Nigeria, Cameroon	Niger-Congo
37	Ese Ejja	ese	Tacanan	Bolivia	Pano-Tacanan
38	Garífuna (Black Carib)	cab	[creole]	Guatemala	Arawakan
39	Guahibo	guh	Arawakan	Colombia	Arawakan
40	Guambiano	gum	Paezan	Columbia	Barbacoan-Paezan
41	Guarijío	var	Uto-Aztecan	Mexico	Uto-Aztecan
42	Guaymí (Ngäbere)	gym	Chibchan	Panama	Chibchan
43	Gunu	yas	Bantoid	Cameroon	Niger-Congo
44	Halbi	hlb	Indic	India	Indo-European
45	Huastec	hva	Mayan	Mexico	Mayan
46	Huave	hve	Huavean	Mexico	Isolate
47	Iduna	viv	Oceanic	Papua New Guinea	Austronesian
48	Ifugao	ify	Austronesian	Philippines	Austronesian
49	Iwam	iws	Upper Sepik	Papua New Guinea	Austronesian
50	Jicaque	jic	Jicaque	Honduras	Hokan
51	Kalam	kmh	East New Guinea Highlands	Papua New Guinea	Trans-New Guinea
52	Kamano-Kafe	kbg	East New Guinea Highlands	Papua New Guinea	Trans-New Guinea
53	Karajá	kpj	Macro-Ge	Brazil	Macro-Ge
54	Kemtuik	kmt	Nimboran	Indonesia (Irian Jaya)	Nimboran
55	Kokni (Kokoni)	kfu	Indic	India	Indo-European
56	Konkomba	xon	Gur	Ghana	Niger-Congo
57	Kriol	rop	[creole]	Australia	Indo-European
58	Kuku-Yalanji	gvn	Pama-Nyungan	Australia	Pama-Nyungan
59	Kuna	cuk	Chibchan	Panama	Chibchan
60	Kwerba	kwe	Dani-Kwerba	Indonesia (Irian Jaya)	Tor-Kweba
61	Lele	lln	East Chadic	Chad	Afro-Asiatic
62	Mampruli	maw	Gur	Ghana	Niger-Congo
63	Maring	mbw	Trans-New Guinea	Papua New Guinea	Trans-New Guinea
64	Martu-Wangka	mpj	Martu-Wangka	Australia	Pama-Nyungan
65	Mawchi	mke	Indic	India	Indo-European
66	Mayoruna	mcf	Panoan	Peru	Pano-Tacanan
67	Mazahua	mmc	Oto-Manguean	Mexico	Oto-Manguean
68	Mazatec	maq	Oto-Manguean	Mexico	Oto-Manguean
69	Menye	mcr	Angan	Papua New Guinea	Trans-New Guinea
70	Micmac	mic	Algonquian	Canada	Algonquian
71	Mikasuki	mik	Muskogean	USA	Muskogean
72	Mixtec	mxa	Oto-Manguean	Mexico	Oto-Manguean
73	Mundu	muh	Adamawa-Ubangi	Sudan	Adamawa-Ubangi
74	Múra-Pirahá	myp	Pirahá	Brazil	Mura
75	Murle	mur	Nilo-Sarahan	Sudan	Nilo-Sarahan
76	Murrinh-Patha	mwf	Murrinh-Patha	Australia	Murrinh-Patha
77	Nafaanra	nfr	Gur	Ghana	Niger-Congo
78	Nahuatl	ncj	Uto-Aztecan	Mexico	Uto-Aztecan
79	Ocaina	oca	Witotoan	Peru	Bora-Huioto
80	Papago (O'odham)	ood	Uto-Aztecan	USA, Mexico	Uto-Aztecan
81	Patep	ptp	Austronesian	Papua New Guinea	Austronesian
82	Paya	pay	Chibchan	Honduras	Chibchan
83	Podopa	ppo	Trans-New Guinea	Papua New Guinea	Trans-New Guinea
84	Saramaccan	srm	[creole]	Surinam	Indo-European
85	Seri	sei	Hokan	Mexico	Hokan
86	Shipibo	shp	Panoan	Peru	Pano-Tacanan
87	Sirionó	srq	Tupi	Bolivia	Tupian
88	Slave	xsl	Athabaskan	Canada	Athabaskan
89	Sursurunga	sgz	Austronesian	Papua New Guinea	Austronesian
90	Tabla	tnm	Trans-New Guinea	Indonesia (Irian Jaya)	Trans-New Guinea
91	Tacana	tna	Tacanan	Bolivia	Pano-Tacanan
92	Tarahumara (Central)	tar	Uto-Aztecan	Mexico	Uto-Aztecan
93	Tarahumara (Western)	nai	Uto-Aztecan	Mexico	Uto-Aztecan
94	Tboli	tbl	Austronesian	Philippines	Austronesian
95	Teribe	tfr	Chibchan	Panama	Chibchan
96	Ticuna	tca	Ticuna	Peru	Ticuna
97	Tifal	tif	Trans-New Guinea	Papua New Guinea	Trans-New Guinea
98	Tlapanec	tll	Subtiaba-Tlapanec	Mexico	Oto-Manguean
99	Tucano	tuo	Tucanoan	Colombia	Tucanoan
100	Vagla	vag	Gur	Ghana	Niger-Congo
101	Vasavi	vas	Indic	India	Indo-European
102	Waorani (Auca, Huao)	auc	Waorani	Ecuador	Isolate
103	Walpiri	wbp	Pama-Nyungan	Australia	Pama-Nyungan
104	Wobé	wob	Niger-Congo	Ivory Coast	Niger-Congo
105	Yacouba	daf	Dan	Ivory Coast	Niger-Congo
106	Yakan	yka	Austronesian	Philippines	Austronesian
107	Yaminahua	yaa	Panoan	Peru	Pano-Tacanan
108	Yucuna	ycn	Arawakan	Colombia	Arawakan
109	Yupik	ess	Eskimo-Aleut	USA	Eskimo-Aleut
110	Zapotec	zpz	Oto-Manguean	Mexico	Oto-Manguean